DATE,START,END,DURATION,ID,TOPIC
04/13/2021,13:00,13:59,59.0,47,PYTHON_PANDAS_MATPLOTLIB
04/15/2021,14:56,15:56,60.0,179,PYTHON_PANDAS_MATPLOTLIB
04/16/2021,10:58,11:54,56.0,156,APIS
04/16/2021,18:59,19:58,59.0,12,APIS
04/16/2021,06:59,08:00,61.0,157,AWS
04/16/2021,15:59,16:52,53.0,72,PYTHON_PANDAS_MATPLOTLIB
04/17/2021,17:59,18:53,54.0,69,AWS
04/17/2021,20:01,20:57,56.0,60,SQL
04/18/2021,13:02,13:59,57.0,17,PYTHON_PANDAS_MATPLOTLIB
04/18/2021,20:00,20:56,56.0,34,ORMS
04/19/2021,10:00,10:54,54.0,254,JAVASCRIPT
04/19/2021,22:02,23:02,60.0,239,HTML_CSS
04/21/2021,08:59,10:01,62.0,92,APIS
04/21/2021,11:01,12:01,60.0,47,APIS
04/21/2021,20:02,21:02,60.0,179,PYTHON_PANDAS_MATPLOTLIB
04/22/2021,15:01,15:51,50.0,34,APIS
04/23/2021,11:01,12:01,60.0,10,JAVASCRIPT
04/23/2021,19:00,19:59,59.0,98,NODE_EXPRESS
04/24/2021,07:01,08:00,59.0,157,ML_SUPERVISED
04/24/2021,12:57,14:00,63.0,72,PYTHON_PANDAS_MATPLOTLIB
04/24/2021,16:01,17:21,80.0,69,ML_SUPERVISED
04/24/2021,20:59,21:59,60.0,60,PWA
04/25/2021,12:58,14:00,62.0,17,APIS
04/25/2021,10:01,11:00,59.0,237,TABLEAU
04/26/2021,21:12,22:12,60.0,239,HTML_CSS
04/28/2021,10:59,11:59,60.0,47,PYTHON_PANDAS_MATPLOTLIB
04/28/2021,20:00,21:00,60.0,10,COMPUTER_SCIENCE
04/29/2021,07:59,08:59,60.0,149,GIT
04/29/2021,20:00,21:00,60.0,179,APIS
04/29/2021,22:00,23:00,60.0,60,REACT
04/30/2021,10:57,11:43,46.0,156,PYTHON_PANDAS_MATPLOTLIB
05/01/2021,08:01,09:01,60.0,157,ML_UNSUPERVISED
05/01/2021,12:58,13:58,60.0,72,APIS
05/01/2021,21:00,22:00,60.0,98,ORMS
05/02/2021,12:57,14:00,63.0,17,PYTHON_PANDAS_MATPLOTLIB
05/03/2021,08:00,09:00,60.0,149,EXCEL_VBA
05/03/2021,10:00,11:00,60.0,98,ORMS
05/03/2021,12:01,13:00,59.0,194,CONSULTING
05/03/2021,12:57,13:47,50.0,253,GIT
05/03/2021,17:07,18:07,60.0,239,JAVASCRIPT
05/05/2021,19:58,20:58,60.0,179,ETL
05/06/2021,14:01,15:03,62.0,71,PYTHON_PANDAS_MATPLOTLIB
05/06/2021,19:55,20:55,60.0,72,CONSULTING
05/07/2021,13:57,14:57,60.0,156,ORMS
05/08/2021,11:01,12:02,61.0,209,APIS
05/08/2021,22:00,22:38,38.0,34,DOCKER_DEPLOY
05/09/2021,07:02,08:02,60.0,157,ML_SUPERVISED
05/09/2021,20:00,21:00,60.0,60,REACT
