ID,BOOTCAMP,TIMEZONE
314,DATA,EASTERN
143,FULL_STACK,CENTRAL
164,DATA,CENTRAL
59,FULL_STACK,MOUNTAIN
150,FULL_STACK,EASTERN
289,DATA,CENTRAL
165,DATA,MOUNTAIN
329,DATA,EASTERN
96,DATA,EASTERN
139,DATA,CENTRAL
248,DATA,CENTRAL
293,FULL_STACK,EASTERN
178,DATA,EASTERN
229,DATA,MOUNTAIN
307,DATA,CENTRAL
283,DATA,EASTERN
347,FULL_STACK,CENTRAL
207,DATA,AWST
324,DATA,PACIFIC
226,DATA,CENTRAL
64,DATA,EASTERN
168,DATA,PACIFIC
194,DATA,CENTRAL
68,DATA,EASTERN
103,DATA,EASTERN
152,DATA,EASTERN
94,DATA,EASTERN
124,FULL_STACK,CENTRAL
212,FULL_STACK,ARIZONA
101,DATA,EASTERN
1,DATA,CENTRAL
190,DATA,EASTERN
45,DATA,MOUNTAIN
185,DATA,EASTERN
170,DATA,EASTERN
114,DATA,EASTERN
130,FULL_STACK,EASTERN
215,DATA,MOUNTAIN
47,DATA,EASTERN
225,DATA,CENTRAL
184,DATA,EASTERN
21,DATA,CENTRAL
264,DATA,IRELAND
208,DATA,EASTERN
358,DATA,IRELAND
45,DATA,MOUNTAIN
160,DATA,EASTERN
275,DATA,CENTRAL
296,DATA,EASTERN
145,DATA,EASTERN
129,DATA,CENTRAL
339,DATA,EASTERN
333,DATA,EASTERN
331,DATA,CENTRAL
11,DATA,CENTRAL
104,DATA,ARIZONA
245,DATA,EASTERN
123,DATA,EASTERN
282,DATA,EASTERN
268,DATA,EASTERN
197,DATA,EASTERN
263,DATA,EASTERN
317,DATA,CENTRAL
25,DATA,EASTERN
203,DATA,CENTRAL
140,DATA,MOUNTAIN
285,DATA,CENTRAL
325,FULL_STACK,EASTERN
261,FULL_STACK,MOUNTAIN
0,FULL_STACK,CENTRAL
63,DATA,PACIFIC
279,DATA,CENTRAL
354,DATA,IRELAND
77,FULL_STACK,PACIFIC
112,FULL_STACK,CENTRAL
120,DATA,EASTERN
288,DATA,CENTRAL
241,DATA,PACIFIC
122,DATA,CENTRAL
142,FULL_STACK,CENTRAL
147,DATA,CENTRAL
110,DATA,CENTRAL
81,FULL_STACK,EASTERN
30,DATA,EASTERN
266,DATA,EASTERN
14,DATA,EASTERN
267,DATA,EASTERN
133,FULL_STACK,EASTERN
62,DATA,CENTRAL
290,DATA,PACIFIC
330,DATA,CENTRAL
242,FULL_STACK,PACIFIC
61,FULL_STACK,EASTERN
309,DATA,EASTERN
84,DATA,CENTRAL
238,DATA,EASTERN
223,DATA,EASTERN
87,DATA,EASTERN
161,FULL_STACK,PACIFIC
302,DATA,PACIFIC
136,FULL_STACK,CENTRAL
117,DATA,CENTRAL
98,FULL_STACK,EASTERN
52,DATA,COLOMBIA
2,DATA,CENTRAL
186,DATA,EASTERN
274,DATA,UNKNOWN
237,DATA,EASTERN
189,DATA,EASTERN
231,DATA,EASTERN
344,DATA,EASTERN
19,DATA,EASTERN
4,DATA,EASTERN
183,FULL_STACK,CENTRAL
227,DATA,CENTRAL
187,DATA,EASTERN
162,DATA,EASTERN
34,DATA,EASTERN
29,DATA,EASTERN
33,FULL_STACK,IRELAND
58,DATA,CENTRAL
72,DATA,CENTRAL
191,DATA,CENTRAL
258,DATA,PACIFIC
8,FULL_STACK,UNKNOWN
308,FULL_STACK,UNKNOWN
31,FULL_STACK,UNKNOWN
200,FULL_STACK,UNKNOWN
355,FULL_STACK,UNKNOWN
342,FULL_STACK,UNKNOWN
179,FULL_STACK,UNKNOWN
26,FULL_STACK,UNKNOWN
254,FULL_STACK,UNKNOWN
